Xl,Yl,Xr,Yr,Al,Ar,A,C,Ok,Distancia(mm)
200,350,300,-350,1,1,1,1,1,29.901
200,350,300,-250,1,1,1,1,1,29.7191
200,350,300,-150,1,1,1,1,1,29.7268
200,350,300,-50,1,1,1,1,1,29.7379
200,350,300,50,1,1,1,1,1,29.8221
200,350,300,150,1,1,1,1,1,29.241
200,350,300,250,1,1,1,1,1,29.7219
200,350,300,350,1,1,1,0,0,15.0694
200,350,300,450,1,0,0,0,0,15.0694
200,350,400,-450,1,1,1,1,1,29.6945
200,350,400,-350,1,1,1,1,1,29.705
200,350,400,-250,1,1,1,1,1,29.7482
200,350,400,-150,1,1,1,1,1,29.6902
200,350,400,-50,1,1,1,1,1,29.6923
200,350,400,50,1,1,1,1,1,29.8347
200,350,400,150,1,1,1,1,1,29.0003
200,350,400,250,1,1,1,1,1,29.75
200,350,400,350,1,1,1,1,1,29.7939
200,350,400,450,1,0,0,1,0,29.7939
200,350,500,-450,1,1,1,1,1,29.6905
200,350,500,-350,1,1,1,1,1,29.733
200,350,500,-250,1,1,1,1,1,29.738
200,350,500,-150,1,1,1,1,1,29.6913
200,350,500,-50,1,1,1,1,1,29.6926
200,350,500,50,1,1,1,1,1,29.7104
200,350,500,150,1,1,1,1,1,28.7916
200,350,500,250,1,1,1,1,1,29.7032
200,350,500,350,1,0,0,1,0,29.7032
200,350,500,450,1,0,0,1,0,29.7032
200,350,600,-450,1,0,0,1,0,29.7032
200,350,600,-350,1,1,1,1,1,29.726
200,350,600,-250,1,1,1,1,1,29.7506
200,350,600,-150,1,1,1,1,1,29.6986
200,350,600,-50,1,1,1,1,1,30.078
200,350,600,50,1,1,1,1,1,29.0277
200,350,600,150,1,1,1,1,1,29.6917
200,350,600,250,1,0,0,1,0,29.6917
200,350,600,350,1,0,0,1,0,29.6917
200,350,600,450,1,0,0,1,0,29.6917
200,450,200,-450,1,1,1,1,1,29.8201
200,450,200,-350,1,1,1,1,1,30.0612
200,450,200,-250,1,1,1,1,1,29.7488
200,450,200,-150,1,1,1,1,1,29.9904
200,450,200,-50,1,1,1,1,1,29.7447
200,450,200,50,1,1,1,1,1,30.0055
