Gird Size,10,5,3,,,,,,,,,,,,,,,,,,
Coordenada,,,Brazo derecho,,,,,,,,Coordenada,,,Brazo izquierdo,,,,,,,
X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7,X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7
200,450,310,0,0,0,0,0,0,0,0,200,450,310,1,-18.0835,-121.2640,40.0095,89.7955,89.4763,199.1250,33.9744
300,-450,310,1,28.3099,-103.1330,31.0044,271.7330,89.2723,-187.7490,-29.0912,300,-450,310,0,0,0,0,0,0,0,0
300,-350,310,1,27.1248,-105.3140,52.1473,271.7530,89.1020,-169.0650,-28.8973,300,-350,310,0,0,0,0,0,0,0,0
300,-250,310,1,30.5860,-99.5035,68.1742,272.7060,89.2817,-146.2990,-26.5362,300,-250,310,1,-167.5000,-56.0128,20.3578,101.6350,110.5400,63.1685,110.3580
300,-150,310,1,41.2893,-80.3086,76.3070,275.2580,89.8902,-116.1690,-23.1293,300,-150,310,1,-148.4350,-29.6045,40.9368,86.9585,93.4249,61.6599,103.6940
300,-50,310,1,61.0858,-51.3809,72.6851,276.5490,90.9135,-85.7944,-29.3852,300,-50,310,1,-98.6379,-31.9020,59.5834,85.1583,93.4457,67.9358,58.7503
300,50,310,1,96.7693,-30.2090,59.4671,275.4560,91.5642,-68.1479,-57.5721,300,50,310,1,-63.1468,-52.5203,72.7773,83.7865,92.8735,85.6625,30.3969
300,150,310,1,149.5280,-27.8326,40.7850,273.9360,91.6555,-61.8570,-105.4060,300,150,310,1,-43.0368,-81.3071,76.4190,84.8839,91.8951,116.1170,23.0758
300,250,310,1,167.5000,-56.0140,20.3571,258.3650,110.5420,-63.1691,-110.3580,300,250,310,1,-32.2576,-100.5770,68.3492,87.5282,91.2891,146.2720,25.7197
300,350,310,0,0,0,0,0,0,0,0,300,350,310,1,-28.7179,-106.4090,52.3856,88.7906,91.0434,169.0140,27.7026
300,450,310,0,0,0,0,0,0,0,0,300,450,310,1,-29.7459,-104.1580,31.2957,89.1915,91.0556,187.6560,27.7031
400,-450,310,1,38.1680,-84.6613,14.7115,272.1300,90.1113,-183.1030,-27.3123,400,-450,310,0,0,0,0,0,0,0,0
400,-350,310,1,37.9874,-85.0795,34.6636,272.4100,89.9781,-163.5960,-26.6075,400,-350,310,0,0,0,0,0,0,0,0
400,-250,310,1,41.5074,-78.5965,47.9275,273.0370,90.0865,-142.9500,-25.8936,400,-250,310,1,-167.5000,-47.4849,4.7144,99.6470,103.9250,81.7686,111.8190
400,-150,310,1,49.6643,-64.7369,53.7988,273.8780,90.4175,-121.1760,-26.8709,400,-150,310,1,-140.3550,-27.9656,24.7820,87.8356,93.1509,82.0038,97.4449
400,-50,310,1,64.5634,-46.3663,51.2560,274.3100,90.8968,-101.6530,-34.1251,400,-50,310,1,-94.7540,-31.9986,41.1464,86.8577,93.1021,88.2689,56.9655
400,50,310,1,92.9742,-30.3966,40.9581,274.0260,91.3248,-88.4563,-56.2041,400,50,310,1,-66.5819,-47.5681,51.4137,86.3838,92.7624,101.5190,34.8795
400,150,310,1,141.1270,-26.2832,24.5560,273.2880,91.5140,-82.2026,-99.1545,400,150,310,1,-51.4355,-65.7630,53.9607,86.7330,92.3186,121.0830,26.9857
400,250,310,1,167.5000,-47.4847,4.7144,260.3530,103.9240,-81.7686,-111.8190,400,250,310,1,-43.1225,-79.5822,48.1211,87.6430,91.9686,142.8690,25.4459
400,350,310,0,0,0,0,0,0,0,0,400,350,310,1,-39.4758,-86.0427,34.9050,88.4802,91.7711,163.5030,25.7572
400,450,310,0,0,0,0,0,0,0,0,400,450,310,1,-39.4775,-85.5628,15.0101,89.0672,91.7135,182.9800,26.1802
500,-450,310,1,49.2879,-64.7317,-10.7984,272.1310,90.8326,-185.9890,-29.6750,500,-450,310,0,0,0,0,0,0,0,0
500,-350,310,1,48.4300,-66.0817,10.7537,272.4120,90.6330,-165.9860,-28.7255,500,-350,310,0,0,0,0,0,0,0,0
500,-250,310,1,51.6493,-61.1170,23.3222,272.7620,90.6580,-147.6570,-29.3055,500,-250,310,1,-167.5000,-58.4612,-15.2432,119.1470,112.7540,104.1270,95.4775
500,-150,310,1,59.3337,-51.1390,28.4934,273.1060,90.8432,-130.6250,-32.6062,500,-150,310,1,-148.0420,-28.4319,1.8317,88.7993,92.9514,101.3440,104.9460
500,-50,310,1,74.1330,-38.3903,26.3677,273.2570,91.1273,-116.3200,-42.2900,500,-50,310,1,-104.5420,-29.1091,17.5087,88.1289,92.9796,106.2110,66.3398
500,50,310,1,103.4430,-27.5463,17.2295,273.0910,91.4106,-106.4110,-66.5105,500,50,310,1,-75.9757,-39.6696,26.6083,87.8237,92.7980,116.1590,42.7055
500,150,310,1,149.2320,-27.0691,1.5261,272.6160,91.5555,-101.5420,-107.3590,500,150,310,1,-61.0684,-52.2193,28.7255,87.9275,92.5470,130.4920,32.6791
500,250,310,1,167.5000,-58.4599,-15.2427,240.8540,112.7520,-104.1270,-95.4793,500,250,310,1,-53.2066,-62.0973,23.5733,88.3352,92.3241,147.5310,28.9519
500,350,310,0,0,0,0,0,0,0,0,500,350,310,1,-49.8033,-66.9920,11.0455,88.8567,92.1734,165.8490,27.9967
500,450,310,0,0,0,0,0,0,0,0,500,450,310,1,-50.3980,-65.5501,-10.4345,89.4045,92.1055,185.8190,28.6031
600,-450,310,0,0,0,0,0,0,0,0,600,-450,310,0,0,0,0,0,0,0,0
600,-350,310,1,65.1670,-45.0628,-25.4762,272.0790,91.3627,-177.1630,-38.0844,600,-350,310,0,0,0,0,0,0,0,0
600,-250,310,1,66.9361,-43.4636,-9.2259,272.3400,91.2505,-158.8780,-38.7403,600,-250,310,0,0,0,0,0,0,0,0
600,-150,310,1,75.9282,-37.0860,-3.2432,272.5030,91.3235,-144.2600,-44.9132,600,-150,310,1,-167.5000,-35.9545,-32.4378,94.4362,95.0876,123.3750,117.7970
600,-50,310,1,95.4942,-29.1549,-5.2475,272.5210,91.4910,-133.0170,-60.7065,600,-50,310,1,-131.3220,-26.6579,-14.4997,89.2736,92.8390,125.5900,90.6924
600,50,310,1,131.8730,-25.4161,-14.8981,272.3220,91.6531,-125.8150,-92.7468,600,50,310,1,-96.5114,-30.4507,-4.8776,88.9705,92.8057,132.8060,60.1410
600,150,310,1,167.5000,-35.9545,-32.4376,265.5640,95.0876,-123.3750,-117.7970,600,150,310,1,-77.3182,-38.2119,-2.8943,88.9599,92.6716,144.0710,44.5837
600,250,310,0,0,0,0,0,0,0,0,600,250,310,1,-68.2254,-44.4479,-8.8610,89.1874,92.5275,158.6920,38.1617
600,350,310,0,0,0,0,0,0,0,0,600,350,310,1,-66.1590,-45.9198,-25.0379,89.6106,92.4152,176.9480,37.1000
600,450,310,0,0,0,0,0,0,0,0,600,450,310,0,0,0,0,0,0,0,0
200,-450,440,1,46.4561,-117.0270,33.9243,277.5150,137,-194.5270,21.9044,200,-450,440,0,0,0,0,0,0,0,0
200,-350,440,0,0,0,0,0,0,0,0,200,-350,440,0,0,0,0,0,0,0,0
200,-250,440,0,0,0,0,0,0,0,0,200,-250,440,0,0,0,0,0,0,0,0
200,-150,440,0,0,0,0,0,0,0,0,200,-150,440,0,0,0,0,0,0,0,0
200,-50,440,0,0,0,0,0,0,0,0,200,-50,440,0,0,0,0,0,0,0,0
200,50,440,0,0,0,0,0,0,0,0,200,50,440,0,0,0,0,0,0,0,0
200,150,440,0,0,0,0,0,0,0,0,200,150,440,0,0,0,0,0,0,0,0
200,250,440,0,0,0,0,0,0,0,0,200,250,440,0,0,0,0,0,0,0,0
200,350,440,0,0,0,0,0,0,0,0,200,350,440,0,0,0,0,0,0,0,0
200,450,440,0,0,0,0,0,0,0,0,200,450,440,1,-46.4561,-117.0270,33.9246,82.4853,137,194.5280,-21.9045
300,-450,440,1,48.2383,-100.2630,25.4831,273.4120,131.3040,-185.3590,12.8183,300,-450,440,0,0,0,0,0,0,0,0
300,-350,440,1,50.9212,-100.5230,43.5556,289,131.9660,-161.7250,16.5013,300,-350,440,0,0,0,0,0,0,0,0
300,-250,440,0,0,0,0,0,0,0,0,300,-250,440,0,0,0,0,0,0,0,0
300,-150,440,0,0,0,0,0,0,0,0,300,-150,440,0,0,0,0,0,0,0,0
300,-50,440,0,0,0,0,0,0,0,0,300,-50,440,0,0,0,0,0,0,0,0
300,50,440,0,0,0,0,0,0,0,0,300,50,440,0,0,0,0,0,0,0,0
300,150,440,0,0,0,0,0,0,0,0,300,150,440,0,0,0,0,0,0,0,0
300,250,440,0,0,0,0,0,0,0,0,300,250,440,0,0,0,0,0,0,0,0
300,350,440,0,0,0,0,0,0,0,0,300,350,440,1,-50.7179,-100.5630,43.5654,70.9608,131.7560,161.7830,-16.3644
